seed,checkpoint,panel,map_seed,time_bucket,states,action_values,winnable_states,impossible_states,optimal_winnable_actions,abs_error_sum,squared_error_sum,signed_error_sum,action_regret_sum,winnable_regret_sum,impossible_regret_sum,mean_abs_q_error,rmse_q_error,q95_abs_q_error,mean_signed_q_bias,optimal_action_rate,mean_action_regret,winnable_mean_action_regret,impossible_action_regret
2,10000,train,300059,25-32,160,640,160,0,144,10.37940776501253,0.2823544431998316,-0.6251254963152721,0.5979369448000007,0.5979369448000007,0.0,0.016217824632832077,0.021004257128014236,0.02709930202198595,-0.0009767585879926128,0.9,0.0037371059050000043,0.0037371059050000043,
2,10000,train,300060,all,640,2560,597,43,530,99.20927519062863,21.407837578000986,25.087445100906304,4.297090794154004,4.297090794154004,0.0,0.03875362312133931,0.09144635888818448,0.2075950918573136,0.009799783242541524,0.8877721943048577,0.006714204365865631,0.007197807025383591,0.0
2,10000,train,300060,1-8,160,640,117,43,103,69.06901368951776,20.69301681668696,25.648883077913,2.2284591707570005,2.2284591707570005,0.0,0.1079203338898715,0.1798133442658619,0.31877833276810635,0.04007637980923906,0.8803418803418803,0.013927869817231254,0.019046659579119662,0.0
2,10000,train,300060,9-16,160,640,160,0,140,10.175088331802064,0.25367258001965964,3.5298084177405773,0.8625955675850009,0.8625955675850009,0.0,0.015898575518440726,0.01990887757460772,0.029221987857296135,0.005515325652719652,0.875,0.005391222297406255,0.005391222297406255,
2,10000,train,300060,17-24,160,640,160,0,138,9.355655681002673,0.21061008312842405,-1.3890428386299671,0.8161677050560017,0.8161677050560017,0.0,0.014618212001566678,0.01814051418477885,0.024020685945412207,-0.0021703794353593237,0.8625,0.00510104815660001,0.00510104815660001,
2,10000,train,300060,25-32,160,640,160,0,149,10.609517488306144,0.25053809816594297,-2.7022035561173023,0.38986835075600124,0.38986835075600124,0.0,0.01657737107547835,0.019785494140513293,0.02403009969031982,-0.004222193056433285,0.93125,0.0024366771922250076,0.0024366771922250076,
2,10000,train,300061,all,640,2560,579,61,384,138.84958731073056,36.679458353104124,33.42578030345305,12.46409024034362,12.46409024034362,0.0,0.05423812004325412,0.11969926240032266,0.2588977660704615,0.01305694543103635,0.6632124352331606,0.019475141000536905,0.021526926149125422,0.0
2,10000,train,300061,1-8,160,640,99,61,62,92.09838727679644,34.734996114388295,44.53111464287972,5.643835513727073,5.643835513727073,0.0,0.14390373011999444,0.23296658865324812,0.4098468400142459,0.06957986662949957,0.6262626262626263,0.0352739719607942,0.05700843953259669,0.0
2,10000,train,300061,9-16,160,640,160,0,107,19.5784244622537,1.0239851006662621,-7.21858515272098,1.8738387708580304,1.8738387708580304,0.0,0.030591288222271407,0.039999708996329396,0.08097873054434598,-0.011279039301126531,0.66875,0.01171149231786269,0.01171149231786269,
2,10000,train,300061,17-24,160,640,160,0,109,13.823993840204343,0.4662539130894534,-1.569059867953829,2.3627996870572576,2.3627996870572576,0.0,0.021599990375319286,0.026991141865476367,0.03270834335438173,-0.0024516560436778577,0.68125,0.01476749804410786,0.01476749804410786,
2,10000,train,300061,25-32,160,640,160,0,106,13.348781731476075,0.4542232249601129,-2.3176893187518637,2.5836162687012574,2.5836162687012574,0.0,0.02085747145543137,0.0266406416777107,0.03597152864521223,-0.003621389560549787,0.6625,0.01614760167938286,0.01614760167938286,
2,10000,train,300062,all,640,2560,606,34,483,117.88853877283327,22.092441810540933,26.39914258893124,6.638432181984008,6.638432181984008,0.0,0.046050210458137994,0.09289704022326305,0.19478773119925247,0.010312165073801265,0.7970297029702971,0.010372550284350013,0.010954508551128726,0.0
2,10000,train,300062,1-8,160,640,126,34,111,75.14715709601279,20.532014830739527,5.3862347935843005,2.4491366034140007,2.4491366034140007,0.0,0.11741743296251998,0.17911245956948532,0.3143914543616884,0.008415991864975469,0.8809523809523809,0.015307103771337505,0.01943759209058731,0.0
2,10000,train,300062,9-16,160,640,160,0,129,17.417640746456833,0.7860895619529242,9.662890968136379,1.3262850548000022,1.3262850548000022,0.0,0.0272150636663388,0.03504661097098326,0.05471723237742806,0.015098267137713093,0.80625,0.008289281592500013,0.008289281592500013,
