map_seed,repetition,step,current_row,action,reward,next_row,terminated,truncated,remaining,policy,q0,q1,q2,q3
300001,5,16,1008,0,-0.04279999999999999,911,0,0,17,random,,,,
300001,5,17,911,3,-0.0027999999999999935,910,0,0,16,random,,,,
300001,5,18,910,2,-0.0027999999999999935,909,0,0,15,random,,,,
300001,5,19,909,1,0.036,1004,0,0,14,random,,,,
300001,5,20,1004,1,0.0348,1163,0,0,13,random,,,,
300001,5,21,1163,3,0.03360000000000002,1194,0,0,12,random,,,,
300001,5,22,1194,3,0.03239999999999999,1225,0,0,11,random,,,,
300001,5,23,1225,1,-0.007599999999999997,1224,0,0,10,random,,,,
300001,5,24,1224,0,-0.04639999999999999,1063,0,0,9,random,,,,
300001,5,25,1063,0,-0.04520000000000001,934,0,0,8,random,,,,
300001,5,26,934,3,-0.005199999999999995,933,0,0,7,random,,,,
300001,5,27,933,3,-0.005199999999999995,932,0,0,6,random,,,,
300001,5,28,932,0,-0.005199999999999995,931,0,0,5,random,,,,
300001,5,29,931,2,-0.005199999999999995,930,0,0,4,random,,,,
300001,5,30,930,1,0.03360000000000002,1057,0,0,3,random,,,,
300001,5,31,1057,0,-0.04520000000000001,928,0,0,2,random,,,,
300001,5,32,928,1,0.15000000000000002,-1,0,1,1,random,,,,
300001,6,1,959,2,-0.005199999999999995,958,0,0,32,random,,,,
300001,6,2,958,3,-0.005199999999999995,957,0,0,31,random,,,,
300001,6,3,957,1,0.03360000000000002,1084,0,0,30,random,,,,
300001,6,4,1084,3,0.03239999999999999,1115,0,0,29,random,,,,
300001,6,5,1115,2,-0.04639999999999999,1082,0,0,28,random,,,,
300001,6,6,1082,3,0.03239999999999999,1113,0,0,27,random,,,,
300001,6,7,1113,3,0.031200000000000006,1144,0,0,26,random,,,,
300001,6,8,1144,1,1.03,-1,1,0,25,random,,,,
300001,7,1,959,3,-0.005199999999999995,958,0,0,32,random,,,,
300001,7,2,958,2,-0.005199999999999995,957,0,0,31,random,,,,
300001,7,3,957,1,0.03360000000000002,1084,0,0,30,random,,,,
300001,7,4,1084,1,0.03239999999999999,1243,0,0,29,random,,,,
300001,7,5,1243,2,-0.04639999999999999,1210,0,0,28,random,,,,
300001,7,6,1210,1,-0.006399999999999997,1209,0,0,27,random,,,,
300001,7,7,1209,3,0.03239999999999999,1240,0,0,26,random,,,,
300001,7,8,1240,2,-0.04639999999999999,1207,0,0,25,random,,,,
300001,7,9,1207,2,-0.04520000000000001,1174,0,0,24,random,,,,
300001,7,10,1174,0,-0.04399999999999999,1013,0,0,23,random,,,,
300001,7,11,1013,3,0.0348,1044,0,0,22,random,,,,
300001,7,12,1044,1,0.03360000000000002,1203,0,0,21,random,,,,
300001,7,13,1203,1,-0.006399999999999997,1202,0,0,20,random,,,,
300001,7,14,1202,3,0.03239999999999999,1233,0,0,19,random,,,,
300001,7,15,1233,1,-0.007599999999999997,1232,0,0,18,random,,,,
300001,7,16,1232,3,0.031200000000000006,1263,0,0,17,random,,,,
300001,7,17,1263,1,-0.008799999999999999,1262,0,0,16,random,,,,
300001,7,18,1262,1,-0.008799999999999999,1261,0,0,15,random,,,,
300001,7,19,1261,0,-0.0476,1100,0,0,14,random,,,,
300001,7,20,1100,2,-0.04639999999999999,1067,0,0,13,random,,,,
300001,7,21,1067,0,-0.04520000000000001,938,0,0,12,random,,,,
300001,7,22,938,2,-0.005199999999999995,937,0,0,11,random,,,,
300001,7,23,937,0,-0.005199999999999995,936,0,0,10,random,,,,
300001,7,24,936,1,0.03360000000000002,1063,0,0,9,random,,,,
300001,7,25,1063,2,-0.04520000000000001,1030,0,0,8,random,,,,
300001,7,26,1030,3,0.03360000000000002,1061,0,0,7,random,,,,
300001,7,27,1061,3,0.03239999999999999,1092,0,0,6,random,,,,
300001,7,28,1092,3,0.031200000000000006,1123,0,0,5,random,,,,
300001,7,29,1123,0,-0.0476,962,0,0,4,random,,,,
300001,7,30,962,0,-0.04639999999999999,865,0,0,3,random,,,,
300001,7,31,865,2,-0.04520000000000001,832,0,0,2,random,,,,
300001,7,32,832,3,0.15000000000000002,-1,0,1,1,random,,,,
300001,8,1,959,1,0.03360000000000002,1086,0,0,32,guided,0.6025859713554382,0.778778612613678,0.6695557832717896,0.7166051864624023
300001,8,2,1086,3,0.03239999999999999,1117,0,0,31,guided,0.6762837171554565,0.7310699224472046,0.6577759981155396,0.8671125769615173
